year,Algeria,Austria,Bahrain,Belgium,Canada,China,Egypt,Finland,France,Germany,Hungary,India,Ireland,Israel,Italy,Japan,Kuwait,Lithuania,Malaysia,Nigeria,Oman,Pakistan,Romania,Singapore,South Africa,Spain,Sweden,Taiwan,Thailand,Turkey,United Kingdom,United States
1988,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,2,,,,,2,1,,,,,,,,,,,,,1,,,,,1,,,,,,,1
2000,2,,,,,2,2,,,,,1,,,,,,,,2,,,,1,2,,1,,,,,2
2001,2,,,,,2,2,,,,,2,,,,,,,,2,,,,2,2,,2,,,,,2
2002,2,,,,,2,2,,,,,2,,,,,,,,2,,,,2,2,,2,,,,,2
2003,2,,,,,2,2,,,,,2,,,,,,,,2,,,,2,2,,2,,,,,2
2004,2,1,,,,2,2,,,,,2,,1,,,,,,2,,1,,2,2,,2,,,,,2
2005,2,2,,,,2,2,,,,,2,,2,,,,,1,2,,2,1,2,2,,2,,,,,2
2006,2,2,,,,2,2,,,,,2,,2,,,,,2,2,,2,2,2,2,,2,,,,,2
2007,2,2,,,,2,2,,1,,,2,,2,,,,,2,2,,2,2,2,2,,2,,1,,,2
2008,2,2,,,,2,2,,2,1,1,2,,2,,,,,2,2,,2,2,2,2,1,2,,2,,,2
2009,2,2,,1,,2,2,,2,2,2,2,,2,1,1,,,2,2,,2,2,2,2,2,2,,2,,,2
2010,2,2,,2,1,2,2,,2,2,2,2,,2,2,2,,,2,2,,2,2,2,2,2,2,,2,1,,2
2011,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,,1,2,2,,2,2,2,2,2,2,,2,2,1,2
2012,2,2,,2,2,2,2,,2,2,2,2,,2,2,2,,2,2,2,,2,2,2,2,2,2,,2,2,2,2
2013,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2