id,industry,country,entrance,exit
1,consulting,Argentina,2005,9999
2,consulting,Australia,2006,9999
3,consulting,Austria,2005,9999
4,consulting,Bahrain,2005,9999
5,consulting,Belgium,1992,9999
6,consulting,Brazil,2002,9999
7,consulting,Canada,2000,9999
8,consulting,Chile,2002,9999
9,consulting,China,2007,9999
10,consulting,Colombia,2005,9999
11,consulting,Denmark,1991,9999
12,consulting,Ecuador,2007,9999
13,consulting,Finland,1991,9999
14,consulting,France,1992,9999
15,consulting,Germany,2005,9999
16,consulting,Greece,2005,9999
17,consulting,Hong Kong,1987,9999
18,consulting,Hungary,2001,9999
19,consulting,Iceland,2010,9999
20,consulting,India,1968,9999
21,consulting,Indonesia,2006,9999
22,consulting,Israel,2006,9999
23,consulting,Italy,2004,9999
24,consulting,Japan,1987,9999
25,consulting,Luxembourg,2005,9999
26,consulting,Malaysia,1996,9999
27,consulting,Mexico,2003,9999
28,consulting,Morocco,2007,2014
29,consulting,Netherlands,1992,9999
30,consulting,Norway,2002,9999
31,consulting,Peru,2010,9999
32,consulting,Philippines,2010,9999
33,consulting,Poland,2006,9999
34,consulting,Portugal,2005,9999
35,consulting,Qatar,2011,9999
36,consulting,Ireland,1975,9999
37,consulting,Saudi Arabia,2006,9999
38,consulting,Singapore,2001,9999
39,consulting,South Africa,2007,9999
40,consulting,South Korea,2003,9999
41,consulting,Spain,2001,9999
42,consulting,Sweden,1991,9999
43,consulting,Switzerland,1985,9999
44,consulting,Taiwan,1999,9999
45,consulting,Thailand,2008,9999
46,consulting,United Kingdom,1975,9999
47,consulting,United States,1979,9999
48,consulting,Uruguay,2002,9999
49,hotels,Australia,2006,9999
50,hotels,Bhutan,2008,9999
51,hotels,Dubai,2001,9999
52,hotels,India,1903,9999
53,hotels,Malaysia,2003,9999
54,hotels,Maldives,2002,9999
55,hotels,Morocco,2013,9999
56,hotels,South Africa,2010,9999
57,hotels,Sri Lanka,1998,9999
58,hotels,United Arab Emirates,2014,9999
59,hotels,United Kingdom,1982,9999
60,hotels,United States,2007,9999
61,hotels,Zambia,1995,9999
62,hotels,Yemen,1980,1987
63,international,Bangladesh,1995,NO
64,international,Brazil,2011,9999
65,international,Cambodia,2013,9999
66,international,China,1996,9999
67,international,Ivory Coast,2012,9999
68,international,Ethiopia,1994,9999
69,international,Ghana,1998,9999
70,international,Hong Kong,1992,9999
71,international,India,1961,9999
72,international,Japan,1997,9999
73,international,Kenya,1991,9999
74,international,Laos,,9999
75,international,Mexico,,9999
76,international,Mozambique,1993,9999
77,international,Myanmar,2013,9999
78,international,Namibia,1991,9999
79,international,Netherlands,,9999
80,international,Nigeria,2006,9999
81,international,Panama,,9999
82,international,Poland,,9999
83,international,Portugal,2011,9999
84,international,Russia,2005,9999
85,international,Senegal,2007,9999
86,international,Singapore,2001,9999
87,international,South Africa,1994,9999
88,international,South Korea,2013,9999
89,international,Spain,,9999
90,international,Sri Lanka,2001,NO
91,international,Taiwan,2013,9999
92,international,Tanzania,1995,9999
93,international,Thailand,1990,9999
94,international,United Arab Emirates,1991,9999
95,international,Uganda,1994,9999
96,international,United Kingdom,1983,9999
97,international,United States,2004,9999
98,international,Uruguay,2004,NO
99,international,Vietnam,1994,9999
100,international,Zambia,1977,9999
101,international,Zimbabwe,2007,9999
102,motors,India,1945,9999
103,motors,Indonesia,2013,9999
104,motors,Italy,2010,9999
105,motors,Morocco,2013,9999
106,motors,South Africa,2011,9999
107,motors,South Korea,2004,9999
108,motors,Spain,2005,9999
109,motors,Thailand,2006,9999
110,motors,United Kingdom,2008,9999
111,steel,Australia,2006,9999
112,steel,Belgium,2007,9999
113,steel,Canada,2010,9999
114,steel,China,2012,9999
115,steel,France,2007,9999
116,steel,Germany,2007,9999
117,steel,India,1907,9999
118,steel,Ivory Coast,2007,9999
119,steel,Malaysia,2004,9999
120,steel,Mozambique,2007,9999
121,steel,Netherlands,2007,9999
122,steel,Oman,2008,9999
123,steel,Singapore,2005,9999
124,steel,South Africa,2009,9999
125,steel,Thailand,2006,9999
126,steel,United Kingdom,2007,9999
127,steel,Vietnam,2007,2014
128,beverages,Czech Republic,2006,9999
129,beverages,India,1962,9999
130,beverages,Russia,2009,9999
131,beverages,South Africa,2006,9999
132,beverages,United Kingdom,2000,9999
133,beverages,United States,2005,9999