year,China,Japan,Malaysia,South Korea,Taiwan,Thailand,Turkey,Czech Republic,Hungary,Ireland,Poland,Slovakia,United Kingdom,United States
1994,,,,,,,,,,,,,1,
1995,,,,,,,,,1,,,,2,
1996,,,,,,,,1,2,,1,1,2,
1997,,,,,,,,2,2,1,2,2,2,
1998,,,,,1,1,,2,2,2,2,2,2,
1999,,,,1,2,2,,2,2,2,2,2,2,
2000,,,,2,2,2,,2,2,2,2,2,2,
2001,,,,2,2,2,,2,2,2,2,2,2,
2002,,,1,2,2,2,,2,2,2,2,2,2,
2003,,1,2,2,2,2,1,2,2,2,2,2,2,
2004,1,2,2,2,2,2,2,2,2,2,2,2,2,
2005,2,2,2,2,2,2,2,2,2,2,2,2,2,
2006,2,2,2,2,2,2,2,2,2,2,2,2,2,
2007,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2008,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2009,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2010,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2011,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2012,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2013,2,2,2,2,2,2,2,2,2,2,2,2,2,